COTSI,7500,250
CLIFY,7000,250
MIPTE,7000,250
DAHJR,6000,240
GADDO,5000,240
NERDS,4500,230
FANGY,3000,220
BOUBY,2500,190
MERCE,2500,200
JULLI,2500,200
SHELL,2500,190
HUNDA,2500,190
CRCUS,12000,330
SEAVU,12000,330
CLPUR,9000,290
KRAIN,9000,290
SKOLL,9000,290
TAROC,8000,280
TAANK,8000,280
SALWA,8000,280
DECOR,8000,280
DYMMO,7000,270
JURPE,7000,270
WLNUT,7000,270
BREEA,7000,270
POWUP,7000,260
SEYKO,7000,260
JALOT,7300,265
FUELR,6000,250
MUSIK,6000,250
HURLR,6000,250
PALAC,6000,250
ROYAL,5000,240
BASET,5000,240
BROUK,4000,220
FAYZE,4000,220
FALLT,4000,220
GAATE,4000,220
WELLZ,3000,210
NORWA,3500,220
TRNDO,4000,230
GIRBE,2300,180
KURXO,2300,180
WAVUD,2200,180
AYITU,2200,180
IFIJU,2200,180
MUBME,2200,180
LIMMA,1800,9999
FOGLA,1800,9999
SUTIE,1800,9999
JETSA,1800,9999
FILBA,1300,9999
ESINE,1300,9999
ZIMLO,1300,9999
ZANAV,1300,9999
LADLE,500,9999
GRIMY,500,9999
CORTY,500,9999
ARBIE,500,9999
